2014-10-07 01:00:20,848 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:00:20,927 | INFO  | Recovery replayed 280 operations from the journal in 0.144 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:00:21,200 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63327-1412614821015-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:00:21,459 | INFO  | Listening for connections at: tcp://gerrypc:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:00:21,465 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:00:21,481 | INFO  | Listening for connections at: amqp://gerrypc:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:00:21,486 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:00:21,500 | INFO  | Listening for connections at: stomp://gerrypc:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:00:21,506 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:00:21,520 | INFO  | Listening for connections at: mqtt://gerrypc:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:00:21,526 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:00:21,941 | INFO  | Listening for connections at ws://gerrypc:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-10-07 01:00:21,945 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:00:21,956 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63327-1412614821015-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:00:21,961 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:00:23,046 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-10-07 01:00:23,242 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-10-07 01:00:24,419 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-10-07 01:00:44,322 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63327-1412614821015-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-27
2014-10-07 01:00:44,325 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-27
2014-10-07 01:00:44,326 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-27
2014-10-07 01:00:44,328 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-27
2014-10-07 01:00:44,329 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-27
2014-10-07 01:00:44,395 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-27
2014-10-07 01:00:44,399 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-27
2014-10-07 01:00:44,399 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-27
2014-10-07 01:00:44,400 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-27
2014-10-07 01:00:44,402 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-27
2014-10-07 01:00:44,457 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63327-1412614821015-0:1) uptime 25.757 seconds | org.apache.activemq.broker.BrokerService | Thread-27
2014-10-07 01:00:44,459 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63327-1412614821015-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-27
2014-10-07 01:00:44,460 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@1fcbc19: startup date [Tue Oct 07 01:00:15 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-27
2014-10-07 01:00:44,479 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-27
2014-10-07 01:01:07,008 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1fcbc19: startup date [Tue Oct 07 01:01:06 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-10-07 01:01:09,805 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-10-07 01:01:09,923 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:11,945 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:01:12,037 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:01:12,054 | INFO  | Recovery replayed 5 operations from the journal in 0.071 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:01:12,330 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63336-1412614872145-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:12,593 | INFO  | Listening for connections at: tcp://gerrypc:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:12,600 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:12,616 | INFO  | Listening for connections at: amqp://gerrypc:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:12,622 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:12,637 | INFO  | Listening for connections at: stomp://gerrypc:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:12,643 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:12,658 | INFO  | Listening for connections at: mqtt://gerrypc:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:12,663 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:13,070 | INFO  | Listening for connections at ws://gerrypc:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-10-07 01:01:13,074 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:13,087 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63336-1412614872145-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:13,091 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:14,257 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-10-07 01:01:14,475 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-10-07 01:01:15,665 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-10-07 01:01:45,168 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7c7fc2: startup date [Tue Oct 07 01:01:45 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-10-07 01:01:48,030 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-10-07 01:01:48,138 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:50,081 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:01:50,744 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:01:50,768 | INFO  | Recovery replayed 2 operations from the journal in 0.078 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 01:01:51,050 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63346-1412614910862-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:51,332 | INFO  | Listening for connections at: tcp://gerrypc:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:51,338 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:51,355 | INFO  | Listening for connections at: amqp://gerrypc:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:51,361 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:51,376 | INFO  | Listening for connections at: stomp://gerrypc:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:51,383 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:51,398 | INFO  | Listening for connections at: mqtt://gerrypc:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 01:01:51,403 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:51,802 | INFO  | Listening for connections at ws://gerrypc:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-10-07 01:01:51,806 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 01:01:51,820 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63346-1412614910862-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:51,825 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:01:52,911 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-10-07 01:01:53,110 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-10-07 01:01:54,265 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
